state/ut,cnfrmd,actv,rcvd,dcsd
North Goa,6,0,6,0
state/ut,cnfrmd,actv,rcvd,dcsd
South Goa,18,17,1,0
state/ut,cnfrmd,actv,rcvd,dcsd
Unknown,43,22,21,0
